DATE,CAFRES9LFN
1990-01-01,310972
1990-02-01,315437
1990-03-01,316161
1990-04-01,327816
1990-05-01,329247
1990-06-01,335173
1990-07-01,338131
1990-08-01,344911
1990-09-01,352977
1990-10-01,327244
1990-11-01,324008
1990-12-01,322632
1991-01-01,330344
1991-02-01,329728
1991-03-01,330849
1991-04-01,333253
1991-05-01,333228
1991-06-01,341594
1991-07-01,340472
1991-08-01,345309
1991-09-01,356272
1991-10-01,336341
1991-11-01,331962
1991-12-01,332101
1992-01-01,337260
1992-02-01,338772
1992-03-01,338978
1992-04-01,347266
1992-05-01,353102
1992-06-01,356531
1992-07-01,365351
1992-08-01,380584
1992-09-01,372903
1992-10-01,346464
1992-11-01,346823
1992-12-01,347465
1993-01-01,349177
1993-02-01,352603
1993-03-01,346683
1993-04-01,357124
1993-05-01,364864
1993-06-01,367090
1993-07-01,371468
1993-08-01,382371
1993-09-01,381136
1993-10-01,358186
1993-11-01,352962
1993-12-01,357199
1994-01-01,359663
1994-02-01,357247
1994-03-01,352947
1994-04-01,357844
1994-05-01,354542
1994-06-01,354941
1994-07-01,358290
1994-08-01,364511
1994-09-01,368736
1994-10-01,352611
1994-11-01,345473
1994-12-01,347037
1995-01-01,358472
1995-02-01,359215
1995-03-01,357457
1995-04-01,367983
1995-05-01,367568
1995-06-01,373392
1995-07-01,382013
1995-08-01,380857
1995-09-01,391076
1995-10-01,373738
1995-11-01,365247
1995-12-01,361825
1996-01-01,363606
1996-02-01,361788
1996-03-01,358280
1996-04-01,367508
1996-05-01,370521
1996-06-01,375102
1996-07-01,385493
1996-08-01,388650
1996-09-01,388632
1996-10-01,360817
1996-11-01,358813
1996-12-01,359712
1997-01-01,366419
1997-02-01,366610
1997-03-01,363033
1997-04-01,371023
1997-05-01,372441
1997-06-01,373314
1997-07-01,384117
1997-08-01,390193
1997-09-01,386081
1997-10-01,366425
1997-11-01,359022
1997-12-01,364243
1998-01-01,365898
1998-02-01,364053
1998-03-01,365379
1998-04-01,366815
1998-05-01,373930
1998-06-01,380919
1998-07-01,389690
1998-08-01,389118
1998-09-01,393740
1998-10-01,378180
1998-11-01,369790
1998-12-01,373068
1999-01-01,370648
1999-02-01,370112
1999-03-01,365917
1999-04-01,370937
1999-05-01,376090
1999-06-01,384649
1999-07-01,393072
1999-08-01,387515
1999-09-01,393000
1999-10-01,374428
1999-11-01,369606
1999-12-01,372615
2000-01-01,379306
2000-02-01,380793
2000-03-01,378090
2000-04-01,385833
2000-05-01,389929
2000-06-01,394950
2000-07-01,400206
2000-08-01,400695
2000-09-01,402090
2000-10-01,382585
2000-11-01,382814
2000-12-01,386786
2001-01-01,381924
2001-02-01,381020
2001-03-01,381433
2001-04-01,385787
2001-05-01,387563
2001-06-01,392213
2001-07-01,399024
2001-08-01,403183
2001-09-01,396762
2001-10-01,387023
2001-11-01,386124
2001-12-01,391424
2002-01-01,390115
2002-02-01,392622
2002-03-01,390320
2002-04-01,397405
2002-05-01,400917
2002-06-01,404673
2002-07-01,411085
2002-08-01,413626
2002-09-01,419262
2002-10-01,401274
2002-11-01,396052
2002-12-01,396108
2003-01-01,397293
2003-02-01,397035
2003-03-01,395634
2003-04-01,400455
2003-05-01,405005
2003-06-01,414245
2003-07-01,413317
2003-08-01,410156
2003-09-01,412949
2003-10-01,401261
2003-11-01,398814
2003-12-01,398631
2004-01-01,401594
2004-02-01,398936
2004-03-01,396012
2004-04-01,404303
2004-05-01,406736
2004-06-01,408201
2004-07-01,415229
2004-08-01,414430
2004-09-01,409273
2004-10-01,401086
2004-11-01,396989
2004-12-01,398660
2005-01-01,397387
2005-02-01,399499
2005-03-01,397330
2005-04-01,408552
2005-05-01,407457
2005-06-01,408706
2005-07-01,418155
2005-08-01,416475
2005-09-01,412519
2005-10-01,409822
2005-11-01,405568
2005-12-01,404484
2006-01-01,398710
2006-02-01,401196
2006-03-01,399702
2006-04-01,403767
2006-05-01,409247
2006-06-01,412592
2006-07-01,421585
2006-08-01,420739
2006-09-01,419915
2006-10-01,412140
2006-11-01,412282
2006-12-01,413290
2007-01-01,412719
2007-02-01,409801
2007-03-01,409726
2007-04-01,419757
2007-05-01,417307
2007-06-01,421408
2007-07-01,426285
2007-08-01,428387
2007-09-01,428380
2007-10-01,416432
2007-11-01,414911
2007-12-01,417824
2008-01-01,419267
2008-02-01,419248
2008-03-01,420050
2008-04-01,426125
2008-05-01,430217
2008-06-01,432300
2008-07-01,432811
2008-08-01,436930
2008-09-01,440230
2008-10-01,433129
2008-11-01,432367
2008-12-01,433366
2009-01-01,432776
2009-02-01,433843
2009-03-01,431539
2009-04-01,434406
2009-05-01,440507
2009-06-01,437534
2009-07-01,438560
2009-08-01,438083
2009-09-01,439763
2009-10-01,428854
2009-11-01,426016
2009-12-01,426650
2010-01-01,432510
2010-02-01,435668
2010-03-01,434891
2010-04-01,439792
2010-05-01,444956
2010-06-01,442968
2010-07-01,441200
2010-08-01,443873
2010-09-01,445957
2010-10-01,438952
2010-11-01,437059
2010-12-01,437292
2011-01-01,441438
2011-02-01,441890
2011-03-01,441194
2011-04-01,442498
2011-05-01,446682
2011-06-01,445612
2011-07-01,449489
2011-08-01,447401
2011-09-01,449078
2011-10-01,442030
2011-11-01,436428
2011-12-01,438377
2012-01-01,438306
2012-02-01,440057
2012-03-01,439579
2012-04-01,434750
2012-05-01,445939
2012-06-01,448289
2012-07-01,449229
2012-08-01,443942
2012-09-01,440896
2012-10-01,436363
2012-11-01,431008
2012-12-01,432008
2013-01-01,439018
2013-02-01,438545
2013-03-01,437400
2013-04-01,439357
2013-05-01,442388
2013-06-01,445472
2013-07-01,442425
2013-08-01,440243
2013-09-01,438702
2013-10-01,433248
2013-11-01,429034
2013-12-01,428536
2014-01-01,434591
2014-02-01,438369
2014-03-01,441171
2014-04-01,439238
2014-05-01,443334
2014-06-01,441856
2014-07-01,444525
2014-08-01,442285
2014-09-01,438945
2014-10-01,438209
2014-11-01,434375
2014-12-01,432377
2015-01-01,440522
2015-02-01,441592
2015-03-01,442364
2015-04-01,442558
2015-05-01,446670
2015-06-01,446230
2015-07-01,444116
2015-08-01,441212
2015-09-01,439363
2015-10-01,438774
2015-11-01,435367
2015-12-01,436239
2016-01-01,441299
2016-02-01,444128
2016-03-01,447585
2016-04-01,448583
2016-05-01,448010
2016-06-01,450382
2016-07-01,450284
2016-08-01,449520
2016-09-01,447872
2016-10-01,443033
2016-11-01,443188
2016-12-01,440850
2017-01-01,446870
2017-02-01,447023
2017-03-01,447976
2017-04-01,446516
2017-05-01,448170
2017-06-01,448444
2017-07-01,449458
2017-08-01,448673
2017-09-01,451070
2017-10-01,444624
