DATE,PI06029
1969-01-01,1273119
1970-01-01,1356435
1971-01-01,1464105
1972-01-01,1592117
1973-01-01,1815118
1974-01-01,2152111
1975-01-01,2337539
1976-01-01,2755229
1977-01-01,2911878
1978-01-01,3210154
1979-01-01,3823827
1980-01-01,4488004
1981-01-01,4804726
1982-01-01,5225068
1983-01-01,5442616
1984-01-01,6004689
1985-01-01,6441974
1986-01-01,6878521
1987-01-01,7139426
1988-01-01,7825063
1989-01-01,8344297
1990-01-01,9059529
1991-01-01,9658432
1992-01-01,10142185
1993-01-01,10626091
1994-01-01,10868451
1995-01-01,11267528
1996-01-01,11882401
1997-01-01,12218841
1998-01-01,12955184
1999-01-01,13288908
2000-01-01,14070756
2001-01-01,15094584
2002-01-01,16145152
2003-01-01,17226562
2004-01-01,18685044
2005-01-01,20142158
2006-01-01,21741321
2007-01-01,23388190
2008-01-01,24341047
2009-01-01,24119047
2010-01-01,25843995
2011-01-01,27622917
2012-01-01,29480121
2013-01-01,30336210
2014-01-01,32347235
2015-01-01,33285162
2016-01-01,33368619
